LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
27h         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Pulling image "eshghos/kubernetes-salary-service:latest"
27h         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Created container kubernetes-secret
27h         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Started container kubernetes-secret
27h         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Pulling image "eshghos/kubernetes-salary-service:latest"
27h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-ggh8l           Pulling image "eshghos/kubernetes-secret:latest"
27h         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-sn4ps   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 845.977093ms
27h         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Created container kubernetes-secret
27h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-ggh8l           Successfully pulled image "eshghos/kubernetes-secret:latest" in 564.855459ms
27h         Normal    Created                   pod/employee-deployment-94fd8c7cb-ggh8l           Created container kubernetes-secret
27h         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Started container kubernetes-secret
27h         Normal    Started                   pod/employee-deployment-94fd8c7cb-ggh8l           Started container kubernetes-secret
27h         Normal    Pulled                    pod/mysql-deploy-84bc6656f8-cmc68                 Container image "mysql:5.7" already present on machine
27h         Normal    Created                   pod/mysql-deploy-84bc6656f8-cmc68                 Created container mysql
27h         Normal    Started                   pod/mysql-deploy-84bc6656f8-cmc68                 Started container mysql
24h         Normal    NodeHasNoDiskPressure     node/mastervm-centos                              Node mastervm-centos status is now: NodeHasNoDiskPressure
24h         Normal    NodeHasSufficientMemory   node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientMemory
24h         Normal    Starting                  node/mastervm-centos                              Starting kubelet.
24h         Normal    NodeHasSufficientPID      node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientPID
24h         Normal    NodeAllocatableEnforced   node/mastervm-centos                              Updated Node Allocatable limit across pods
24h         Normal    Starting                  node/workervm-centos                              Starting kubelet.
24h         Normal    NodeHasSufficientMemory   node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientMemory
24h         Normal    NodeHasSufficientPID      node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientPID
24h         Normal    NodeAllocatableEnforced   node/workervm-centos                              Updated Node Allocatable limit across pods
24h         Normal    NodeHasNoDiskPressure     node/workervm-centos                              Node workervm-centos status is now: NodeHasNoDiskPressure
24h         Normal    NodeHasSufficientPID      node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientPID
24h         Normal    NodeHasNoDiskPressure     node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasNoDiskPressure
24h         Normal    NodeAllocatableEnforced   node/workervm-centos-2                            Updated Node Allocatable limit across pods
24h         Normal    Starting                  node/workervm-centos-2                            Starting kubelet.
24h         Normal    NodeHasSufficientMemory   node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientMemory
24h         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-sn4ps   Pod sandbox changed, it will be killed and re-created.
24h         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-ggh8l           Pod sandbox changed, it will be killed and re-created.
24h         Normal    SandboxChanged            pod/mysql-deploy-84bc6656f8-cmc68                 Pod sandbox changed, it will be killed and re-created.
24h         Normal    Starting                  node/workervm-centos                              Starting kube-proxy.
24h         Normal    Created                   pod/mysql-deploy-84bc6656f8-cmc68                 Created container mysql
24h         Normal    Started                   pod/mysql-deploy-84bc6656f8-cmc68                 Started container mysql
24h         Normal    Pulled                    pod/mysql-deploy-84bc6656f8-cmc68                 Container image "mysql:5.7" already present on machine
24h         Normal    RegisteredNode            node/mastervm-centos                              Node mastervm-centos event: Registered Node mastervm-centos in Controller
24h         Normal    RegisteredNode            node/workervm-centos                              Node workervm-centos event: Registered Node workervm-centos in Controller
24h         Normal    RegisteredNode            node/workervm-centos-2                            Node workervm-centos-2 event: Registered Node workervm-centos-2 in Controller
24h         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-l59q8           Pod sandbox changed, it will be killed and re-created.
24h         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-zjzfb   Pod sandbox changed, it will be killed and re-created.
24h         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Pulling image "eshghos/kubernetes-salary-service:latest"
24h         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Created container kubernetes-secret
24h         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-sn4ps   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 767.29101ms
24h         Normal    Starting                  node/workervm-centos-2                            Starting kube-proxy.
24h         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Started container kubernetes-secret
24h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-ggh8l           Pulling image "eshghos/kubernetes-secret:latest"
24h         Normal    Created                   pod/employee-deployment-94fd8c7cb-ggh8l           Created container kubernetes-secret
24h         Normal    Started                   pod/employee-deployment-94fd8c7cb-ggh8l           Started container kubernetes-secret
24h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-ggh8l           Successfully pulled image "eshghos/kubernetes-secret:latest" in 607.106926ms
24h         Normal    Starting                  node/mastervm-centos                              Starting kube-proxy.
24h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-l59q8           Pulling image "eshghos/kubernetes-secret:latest"
24h         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Pulling image "eshghos/kubernetes-salary-service:latest"
24h         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Created container kubernetes-secret
24h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-l59q8           Successfully pulled image "eshghos/kubernetes-secret:latest" in 1.131711265s
24h         Normal    Created                   pod/employee-deployment-94fd8c7cb-l59q8           Created container kubernetes-secret
24h         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-zjzfb   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 640.54461ms
24h         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Started container kubernetes-secret
24h         Normal    Started                   pod/employee-deployment-94fd8c7cb-l59q8           Started container kubernetes-secret
6h22m       Normal    Starting                  node/mastervm-centos                              Starting kubelet.
6h22m       Normal    Starting                  node/workervm-centos-2                            Starting kubelet.
6h22m       Normal    Starting                  node/workervm-centos                              Starting kubelet.
6h21m       Normal    NodeHasNoDiskPressure     node/workervm-centos                              Node workervm-centos status is now: NodeHasNoDiskPressure
6h22m       Normal    NodeHasSufficientMemory   node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientMemory
6h22m       Normal    NodeHasNoDiskPressure     node/mastervm-centos                              Node mastervm-centos status is now: NodeHasNoDiskPressure
6h22m       Normal    NodeAllocatableEnforced   node/mastervm-centos                              Updated Node Allocatable limit across pods
6h21m       Normal    NodeHasSufficientPID      node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientPID
6h22m       Normal    NodeAllocatableEnforced   node/workervm-centos-2                            Updated Node Allocatable limit across pods
6h22m       Normal    NodeAllocatableEnforced   node/workervm-centos                              Updated Node Allocatable limit across pods
6h21m       Normal    NodeHasNoDiskPressure     node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasNoDiskPressure
6h21m       Normal    NodeHasSufficientPID      node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientPID
6h21m       Normal    NodeHasSufficientMemory   node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientMemory
6h21m       Normal    NodeHasSufficientMemory   node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientMemory
6h22m       Normal    NodeHasSufficientPID      node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientPID
6h19m       Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-sn4ps   Pod sandbox changed, it will be killed and re-created.
6h19m       Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-ggh8l           Pod sandbox changed, it will be killed and re-created.
6h20m       Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-zjzfb   Pod sandbox changed, it will be killed and re-created.
6h20m       Normal    Starting                  node/mastervm-centos                              Starting kube-proxy.
6h20m       Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-l59q8           Pod sandbox changed, it will be killed and re-created.
6h20m       Normal    Starting                  node/workervm-centos-2                            Starting kube-proxy.
6h18m       Normal    SandboxChanged            pod/mysql-deploy-84bc6656f8-cmc68                 Pod sandbox changed, it will be killed and re-created.
6h20m       Normal    RegisteredNode            node/workervm-centos-2                            Node workervm-centos-2 event: Registered Node workervm-centos-2 in Controller
6h20m       Normal    RegisteredNode            node/mastervm-centos                              Node mastervm-centos event: Registered Node mastervm-centos in Controller
6h20m       Normal    Pulling                   pod/employee-deployment-94fd8c7cb-l59q8           Pulling image "eshghos/kubernetes-secret:latest"
6h20m       Normal    RegisteredNode            node/workervm-centos                              Node workervm-centos event: Registered Node workervm-centos in Controller
